account_id,opportunity_name,close_date,stage,amount,lead_source,description,probability,created_date,owner_name,account_name,duns_number
268,aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien,11/26/2022,Closed Lost,Dollar,Purchased List,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",31.1,2022-12-07T13:17:36Z,Kerri Gibbins,Skyvu,84-514-3423
269,nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque,11/18/2022,Closed Won,Yuan Renminbi,Purchased List,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",93.57,2022-06-15T10:45:52Z,Jonis Mallatratt,Meezzy,11-048-2805
270,sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque,1/25/2022,Closed Lost,Yuan Renminbi,Partner,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",28.77,2022-11-20T19:49:43Z,Levon Rakestraw,Eire,33-562-0902
271,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,1/10/2022,Closed Won,Franc,Purchased List,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",45.28,2022-01-15T12:47:12Z,Marwin Chown,Tagtune,32-538-2002
272,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas,4/3/2022,Closed Lost,Hryvnia,Web,"In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.

Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.",91.83,2022-06-18T02:17:17Z,Lowe Bembrick,Twinder,30-248-4617
273,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est,11/5/2022,Closed Lost,Yuan Renminbi,Referral,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",97.93,2022-01-06T03:36:38Z,Dorothy Gabotti,Tanoodle,76-741-7200
274,sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,11/8/2022,Closed Lost,Rupiah,Referral,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",57.62,2022-10-02T04:06:18Z,Flint Laughrey,Kwinu,38-564-6133
275,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer,7/6/2022,Closed Lost,Ruble,Referral,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.

Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.",41.2,2022-08-30T02:49:27Z,Tresa MacKilroe,Twinte,63-202-1747
276,non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla,10/12/2022,Closed Lost,Yuan Renminbi,Partner,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0.02,2022-06-11T23:20:53Z,Amitie Placide,Kwinu,93-807-5266
277,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla,10/2/2022,Closed Lost,Sol,Referral,"Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.

In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.",55.33,2022-01-02T16:50:59Z,Darla Pfeiffer,Realfire,94-219-3810
278,aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,3/6/2022,Closed Lost,Rupiah,Purchased List,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,55.86,2022-01-28T12:40:13Z,Cy Anstey,BlogXS,93-692-4272
279,velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,11/27/2022,Closed Won,Yuan Renminbi,Referral,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",14.48,2022-08-19T02:32:39Z,Arlinda Gormally,Trupe,87-778-6491
280,orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis,3/9/2022,Closed Won,Yuan Renminbi,Partner,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",24.53,2022-03-03T04:54:11Z,Yoko Uppett,Skipstorm,78-872-6851
281,id consequat in consequat ut nulla sed accumsan felis ut at,12/12/2022,Closed Lost,Litas,Purchased List,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,37.96,2022-04-30T02:05:37Z,Thoma Cadden,Pixonyx,51-392-5666
282,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,3/2/2022,Closed Lost,Ruble,Partner,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",73.64,2022-01-14T10:02:36Z,Killy Harnor,Mycat,16-141-8674
283,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus,1/4/2022,Closed Lost,Quetzal,Referral,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",51.12,2022-05-14T20:14:10Z,Gaby Scotson,Tanoodle,27-829-8114
284,consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam,2/17/2022,Closed Lost,Euro,Purchased List,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",47.42,2022-04-09T02:45:45Z,Erl Stone Fewings,Ailane,54-895-3066
285,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi,4/15/2022,Closed Won,Yuan Renminbi,Partner,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",66.87,2022-06-02T06:25:13Z,Mozelle Gubbins,Bluezoom,17-514-5483
286,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,2/11/2022,Closed Lost,Ruble,Referral,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",37.11,2022-02-11T06:01:43Z,Ethyl Sebright,Skinder,53-066-7077
287,sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed,6/3/2022,Closed Lost,Pound,Referral,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",0.87,2022-10-15T11:15:29Z,Dionis Baird,LiveZ,51-869-6484
288,ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,3/6/2022,Closed Lost,Peso,Partner,"In congue. Etiam justo. Etiam pretium iaculis justo.

In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.",68.67,2022-04-02T04:28:48Z,Clair Pottle,Zooveo,09-693-0524
289,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat,8/29/2022,Closed Won,Peso,Referral,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,86.86,2022-06-10T05:14:56Z,Talbert Mauger,Buzzdog,03-027-9895
290,in consequat ut nulla sed accumsan felis ut at dolor quis,2/4/2022,Closed Lost,Euro,Referral,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,96.84,2022-07-04T11:09:35Z,Modestia McKall,Linkbuzz,53-692-6924
291,etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla,11/6/2022,Closed Lost,Rupiah,Web,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",78.59,2022-02-05T22:09:59Z,Thia Connachan,Brainverse,15-030-6906
292,nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede,8/21/2022,Closed Lost,Dirham,Referral,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",92.37,2022-05-30T09:46:06Z,Carlos Hayhoe,Bubblebox,84-876-1719
293,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,3/25/2022,Closed Lost,Bolivar,Partner,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",31.58,2022-11-20T19:23:21Z,Ella Stolte,Edgeclub,14-736-9661
294,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,2/24/2022,Closed Won,Yuan Renminbi,Partner,"Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.

Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",64.57,2022-03-04T13:16:57Z,Xever Bostick,Photobug,10-069-9972
295,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in,1/9/2022,Closed Lost,Krona,Referral,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.

Phasellus in felis. Donec semper sapien a libero. Nam dui.",65.92,2022-09-14T12:16:32Z,Leandra Kirvell,Jazzy,41-176-8801
296,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,10/26/2022,Closed Lost,Rupiah,Referral,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,47.93,2022-09-11T16:07:13Z,Kath McLardie,Demizz,08-948-0016
297,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu,12/9/2022,Closed Lost,Rupiah,Referral,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",21.26,2022-10-03T11:13:31Z,Fern Pinnock,Feedbug,46-624-6784
298,nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,4/23/2022,Closed Lost,Euro,Referral,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",49.74,2022-01-20T00:34:09Z,Almire Yo,Realfire,93-362-4039
299,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede,5/10/2022,Closed Won,Yuan Renminbi,Purchased List,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",97.35,2022-08-30T22:51:15Z,Emmery Brunsen,Digitube,48-144-3937
300,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,12/29/2022,Closed Lost,Lempira,Partner,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",43.19,2022-05-26T18:18:54Z,Jodi Terney,Babbleopia,27-032-5480
301,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque,2/23/2022,Closed Won,Euro,Purchased List,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",42.17,2022-06-05T12:28:47Z,Lyman Thaine,Innojam,54-750-2566
302,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,3/7/2022,Closed Lost,Peso,Referral,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.

Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",85.02,2022-05-10T14:03:44Z,Neddie Sanbrook,Twitternation,79-649-7938
303,consequat morbi a ipsum integer a nibh in quis justo,6/22/2022,Closed Lost,Shilling,Partner,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",29.26,2022-11-13T08:50:53Z,Ferdinande Cardenosa,Quimba,30-360-1236
304,eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam,12/23/2022,Closed Won,Dollar,Purchased List,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.

Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",58.03,2022-08-29T14:31:22Z,Iver Cantwell,Avaveo,29-263-9235
305,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,12/11/2022,Closed Lost,Euro,Purchased List,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,24.68,2022-11-29T05:32:52Z,Renelle Brydie,Abatz,67-682-8058
306,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,8/10/2022,Closed Lost,Bolivar,Referral,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",28.34,2022-10-19T01:38:20Z,Eula Geertsen,Flipstorm,92-812-5794
307,adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec,4/25/2022,Closed Won,Sol,Referral,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",15.83,2022-12-26T00:17:33Z,Ely Joisce,Minyx,56-785-0521
308,mauris enim leo rhoncus sed vestibulum sit amet cursus id,8/17/2022,Closed Lost,Euro,Web,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.

Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.",58.52,2022-03-30T17:01:26Z,Andre BURWIN,Skippad,39-968-7193
309,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum,12/8/2022,Closed Lost,Rupiah,Referral,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",29.09,2022-01-25T02:00:32Z,Ricard Dyte,Eadel,66-935-3389
310,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,8/4/2022,Closed Won,Yuan Renminbi,Web,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,16.29,2022-09-27T09:06:58Z,Ricardo Seary,Blogtag,59-180-0034
311,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor,10/22/2022,Closed Lost,Naira,Web,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,56.24,2022-12-01T06:45:54Z,Nerissa Maudling,Eayo,74-523-8663
312,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,5/23/2022,Closed Won,Tugrik,Referral,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",27.77,2022-02-25T15:33:43Z,Aretha Fierro,Jamia,26-501-0553
313,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,8/16/2022,Closed Lost,Euro,Web,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1.45,2022-01-29T09:31:54Z,Chrissy Gwyer,Skajo,28-370-7820
314,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit,4/29/2022,Closed Lost,Bolivar,Referral,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",61.76,2022-01-24T11:51:53Z,Eddie Brunini,Skiba,91-782-5892
315,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,3/13/2022,Closed Lost,Ruble,Purchased List,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",35.03,2022-08-06T03:31:37Z,Arne Kennion,Quatz,41-572-5542
316,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc,7/19/2022,Closed Won,Yuan Renminbi,Purchased List,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.

Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",53.79,2022-09-28T17:03:21Z,Isidora Desorts,Tagcat,34-386-4326
317,nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,10/14/2022,Closed Lost,Rial,Partner,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",39.79,2022-11-26T19:05:45Z,Englebert Giraudy,Miboo,98-302-3120
318,morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,11/18/2022,Closed Won,Real,Partner,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",21.9,2022-10-26T18:06:21Z,Evania Abba,Dazzlesphere,14-057-0652
319,sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut,5/7/2022,Closed Lost,Dollar,Purchased List,"Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.

In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",65.06,2022-07-05T15:52:22Z,Jillayne Louden,Livefish,30-835-1737
320,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque,6/19/2022,Closed Lost,Pound,Partner,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.

Fusce consequat. Nulla nisl. Nunc nisl.",94.08,2022-06-11T19:14:43Z,Evangelin Klimkiewich,Flashpoint,99-957-2719
321,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,11/14/2022,Closed Lost,Pound,Web,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",96.42,2022-05-26T22:32:45Z,Lek Short,Fadeo,55-259-9777
322,rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed,12/21/2022,Closed Lost,Peso,Web,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",73.57,2022-01-29T16:41:41Z,Yale Jefferys,Pixope,24-537-5564
323,in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam,4/19/2022,Closed Lost,Shekel,Referral,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",52.25,2022-09-12T05:41:07Z,Minnaminnie MacKissack,Pixope,57-443-8756
324,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus,1/15/2022,Closed Won,Euro,Purchased List,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",87.35,2022-11-25T06:11:44Z,Langsdon Roggerone,Ailane,52-889-5876
325,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,11/11/2022,Closed Won,Euro,Web,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",2.66,2022-10-09T19:41:04Z,Tadeo Duthy,Omba,19-361-2352
326,a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna,6/24/2022,Closed Lost,Yuan Renminbi,Partner,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",94.33,2022-04-23T05:02:06Z,Jojo Pleager,Wordtune,55-373-7490
327,enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue,5/19/2022,Closed Lost,Dollar,Purchased List,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",50.98,2022-11-25T10:26:40Z,Beitris Braidwood,Divanoodle,62-240-7916
